,brand,name,note,time,category
0,acquadiparma,colonia,lemon,top,citrus
1,acquadiparma,colonia,orange,top,citrus
2,acquadiparma,colonia,bergamot,top,citrus
3,acquadiparma,colonia,lavender,mid,floral
4,acquadiparma,colonia,rose,mid,floral
5,acquadiparma,colonia,lemon verbena,mid,citrus
6,acquadiparma,colonia,rosemary,mid,green
7,acquadiparma,colonia,vetiver,bot,woody
8,acquadiparma,colonia,sandalwood,bot,woody
9,acquadiparma,colonia,patchouli,bot,woody
10,acquadiparma,coloniafutura,bergamot,top,citrus
11,acquadiparma,coloniafutura,grapefruit,top,citrus
12,acquadiparma,coloniafutura,lemon,top,citrus
13,acquadiparma,coloniafutura,pink pepper,top,spicy
14,acquadiparma,coloniafutura,clary sage,mid,green
15,acquadiparma,coloniafutura,lavender,mid,floral
16,acquadiparma,coloniafutura,vetiver,bot,woody
17,acquadiparma,coloniapura,bergamot,top,citrus
18,acquadiparma,coloniapura,orange,top,citrus
19,acquadiparma,coloniapura,petitgrain,top,citrus
20,acquadiparma,coloniapura,coriander,mid,spicy
21,acquadiparma,coloniapura,jasmine,mid,whitefloral
22,acquadiparma,coloniapura,narcissus,mid,floral
23,acquadiparma,coloniapura,cedar,bot,woody
24,acquadiparma,coloniapura,patchouli,bot,woody
25,acquadiparma,coloniapura,musk,bot,musk
26,acquadiparma,coloniaintensa,cardamom,top,spicy
27,acquadiparma,coloniaintensa,bergamot,top,citrus
28,acquadiparma,coloniaintensa,lemon,top,citrus
29,acquadiparma,coloniaintensa,ginger,top,spicy
30,acquadiparma,coloniaintensa,myrtle,mid,floral
31,acquadiparma,coloniaintensa,artemisia,mid,green
32,acquadiparma,coloniaintensa,neroli,mid,citrus
33,acquadiparma,coloniaintensa,leather,bot,musk
34,acquadiparma,coloniaintensa,cedar,bot,woody
35,acquadiparma,coloniaintensa,patchouli,bot,woody
36,acquadiparma,coloniaintensa,benzoin,bot,resins
37,acquadiparma,coloniaintensa,musk,bot,musk
38,acquadiparma,coloniaessenza,lemon,top,citrus
39,acquadiparma,coloniaessenza,orange,top,citrus
40,acquadiparma,coloniaessenza,bergamot,top,citrus
41,acquadiparma,coloniaessenza,mandarin orange,top,citrus
42,acquadiparma,coloniaessenza,grapefruit,top,citrus
43,acquadiparma,coloniaessenza,neroli,top,citrus
44,acquadiparma,coloniaessenza,petitgrain,top,citrus
45,acquadiparma,coloniaessenza,rosemary,mid,green
46,acquadiparma,coloniaessenza,lily of the valley leaves,mid,green
47,acquadiparma,coloniaessenza,rose,mid,floral
