brand,kr_brand,en_name,kr_name,img,category,likes,countingReview,avgStars
"acqua di parma","아쿠아 디 파르마",ambra,암브라,https://catchinichi.s3.ap-northeast-2.amazonaws.com/AMBRA.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마","arancia di capri","아란치아 디 카프리",https://catchinichi.s3.ap-northeast-2.amazonaws.com/ARANCIA+DI+CAPRI.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마","bergamotto di calabria","베르가못 디 칼라브리아",https://catchinichi.s3.ap-northeast-2.amazonaws.com/BERGAMOTTO+DI+CALABRIA.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마","bergamotto di calabria la spugnatura","베르가못 디 칼라브리아 라 스푸그나투라",https://catchinichi.s3.ap-northeast-2.amazonaws.com/BERGAMOTTO+DI+CALABRIA+LA+SPUGNATURA.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마",camelia,카멜리아,https://catchinichi.s3.ap-northeast-2.amazonaws.com/CAMELIA.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마","chinotto di liguria","치노또 디 리구리아",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CHINOTTO+DI+LIGURIA.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마","cipresso di toscana","시프레소 디 토스카나",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CIPRESSO+DI+TOSCANA.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마",colonia,콜로니아,https://catchinichi.s3.ap-northeast-2.amazonaws.com/Colonia.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마","colonia club","콜로니아 클럽",https://catchinichi.s3.ap-northeast-2.amazonaws.com/COLONIA+CLUB.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마","colonia essenza","콜로니아 에센자",https://catchinichi.s3.ap-northeast-2.amazonaws.com/COLONIA+ESSENZA.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마","colonia futura","콜로니아 푸투라",https://catchinichi.s3.ap-northeast-2.amazonaws.com/COLONIA+FUTURA.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마","colonia intensa","콜로니아 인센자",https://catchinichi.s3.ap-northeast-2.amazonaws.com/COLONIA+INTENSA.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마","colonia pura","콜로니아 퓨라",https://catchinichi.s3.ap-northeast-2.amazonaws.com/COLONIA+PURA.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마","fico di amalfi","피코 디 아말피",https://catchinichi.s3.ap-northeast-2.amazonaws.com/FICO+DI+AMALFI.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마",leather,레더,https://catchinichi.s3.ap-northeast-2.amazonaws.com/LEATHER.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마","magnolia nobile","메그놀리아 노빌레",https://catchinichi.s3.ap-northeast-2.amazonaws.com/MAGNOLIA+NOBILE.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마","mandorlo di sicilia","만도를로 디 시칠리아",https://catchinichi.s3.ap-northeast-2.amazonaws.com/MANDORLO+DI+SICILIA.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마","mirto di panarea","미르토 디 파나레아",https://catchinichi.s3.ap-northeast-2.amazonaws.com/MIRTO+DI+PANAREA.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마","note di colonia i","노트 디 콜로니아 1",https://catchinichi.s3.ap-northeast-2.amazonaws.com/NOTE+DI+COLONIA+I.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마","note di colonia ii","노트 디 콜로니아 2",https://catchinichi.s3.ap-northeast-2.amazonaws.com/NOTE+DI+COLONIA+II.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마","note di colonia iii","노트 디 콜로니아 3",https://catchinichi.s3.ap-northeast-2.amazonaws.com/NOTE+DI+COLONIA+III.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마","note di colonia iv","노트 디 콜로니아 4",https://catchinichi.s3.ap-northeast-2.amazonaws.com/NOTE+DI+COLONIA+IV.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마","note di colonia v","노트 디 콜로니아 5",https://catchinichi.s3.ap-northeast-2.amazonaws.com/NOTE+DI+COLONIA+V.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마",osmanthus,오스만투스,https://catchinichi.s3.ap-northeast-2.amazonaws.com/OSMANTHUS.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마",oud,오우드,https://catchinichi.s3.ap-northeast-2.amazonaws.com/OUD.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마","peonia nobile","피오니아 노빌레",https://catchinichi.s3.ap-northeast-2.amazonaws.com/PEONIA+NOBILE.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마",quercia,퀘르시아,https://catchinichi.s3.ap-northeast-2.amazonaws.com/QUERCIA.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마","rosa nobile","로사 노빌레",https://catchinichi.s3.ap-northeast-2.amazonaws.com/ROSA+NOBILE.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마",sakura,사쿠라,https://catchinichi.s3.ap-northeast-2.amazonaws.com/SAKURA.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마",sandalo,산달로,https://catchinichi.s3.ap-northeast-2.amazonaws.com/SANDALO.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마",vaniglia,바니글리아,https://catchinichi.s3.ap-northeast-2.amazonaws.com/VANIGLIA+.jpg,1,0,0,0.00
"acqua di parma","아쿠아 디 파르마",yuzu,유자,https://catchinichi.s3.ap-northeast-2.amazonaws.com/YUZU.jpg,1,0,0,0.00
byredo,바이레도,1996,1996,https://catchinichi.s3.ap-northeast-2.amazonaws.com/1996.jpg,1,0,0,0.00
byredo,바이레도,"accord oud","어코드 우드",https://catchinichi.s3.ap-northeast-2.amazonaws.com/Accord+Oud.jpg,1,0,0,0.00
byredo,바이레도,"bal d'afrique","발 다프리크",https://catchinichi.s3.ap-northeast-2.amazonaws.com/Bal+d'Afrique.jpg,1,0,0,0.00
byredo,바이레도,bibliothèque,"비블리 오티크",https://catchinichi.s3.ap-northeast-2.amazonaws.com/Bibliothe%CC%80que.jpg,1,0,0,0.00
byredo,바이레도,"black saffron","블랙 샤프란",https://catchinichi.s3.ap-northeast-2.amazonaws.com/Black+Saffron.jpg,1,0,0,0.00
byredo,바이레도,blanche,블랑쉬,https://catchinichi.s3.ap-northeast-2.amazonaws.com/Blanche.jpg,1,0,9,3.66
byredo,바이레도,"casablanca lily","카사블랑카 릴리",https://catchinichi.s3.ap-northeast-2.amazonaws.com/Casablanca+Lily.jpg,1,0,0,0.00
byredo,바이레도,"eleventh hour","일레븐스 아워",https://catchinichi.s3.ap-northeast-2.amazonaws.com/Eleventh+Hour.jpg,1,0,0,0.00
byredo,바이레도,flowerhead,플라워헤드,https://catchinichi.s3.ap-northeast-2.amazonaws.com/Flowerhead.jpg,1,0,1,3.00
byredo,바이레도,"gypsy water","집시 워터",https://catchinichi.s3.ap-northeast-2.amazonaws.com/Gypsy+Water.jpg,1,0,3,4.33
byredo,바이레도,inflorescence,인플로레센스,https://catchinichi.s3.ap-northeast-2.amazonaws.com/Inflorescence.jpg,1,0,1,3.00
byredo,바이레도,"la tulipe","라 튤립",https://catchinichi.s3.ap-northeast-2.amazonaws.com/La+Tulipe.jpg,1,0,2,3.00
byredo,바이레도,"lil fleur","릴 플로어",https://catchinichi.s3.ap-northeast-2.amazonaws.com/Lil+Fleur.jpg,1,0,0,0.00
byredo,바이레도,m/mink,엠/밍크,https://catchinichi.s3.ap-northeast-2.amazonaws.com/M%3AMink.jpg,1,0,0,0.00
byredo,바이레도,"mister marvelous","미스터 마블러스",https://catchinichi.s3.ap-northeast-2.amazonaws.com/Mister+Marvelous.jpg,1,0,0,0.00
byredo,바이레도,"mixed emotions","믹스드 이모션",https://catchinichi.s3.ap-northeast-2.amazonaws.com/Mixed+Emotions.jpg,1,0,0,0.00
byredo,바이레도,"mojave ghost","모하비 고스트",https://catchinichi.s3.ap-northeast-2.amazonaws.com/Mojave+Ghost.jpg,1,0,2,3.50
byredo,바이레도,"oud immortel","오우드 이모르텔",https://catchinichi.s3.ap-northeast-2.amazonaws.com/Oud+Immortel.jpg,1,0,0,0.00
byredo,바이레도,palermo,팔레르모,https://catchinichi.s3.ap-northeast-2.amazonaws.com/Palermo.jpg,1,0,0,0.00
byredo,바이레도,pulp,펄프,https://catchinichi.s3.ap-northeast-2.amazonaws.com/Pulp.jpg,1,0,0,0.00
byredo,바이레도,"reine de nuit","렌 드 뉘",https://catchinichi.s3.ap-northeast-2.amazonaws.com/Reine+de+Nuit.jpg,1,0,0,0.00
byredo,바이레도,"rose noir","로즈 느와",https://catchinichi.s3.ap-northeast-2.amazonaws.com/Rose+Noir.jpg,1,0,1,4.00
byredo,바이레도,"rose of no man's land","로즈 오브 노 맨즈 랜드",https://catchinichi.s3.ap-northeast-2.amazonaws.com/Rose+Of+No+Man's+Land.jpg,1,0,1,5.00
byredo,바이레도,sellier,셀리에,https://catchinichi.s3.ap-northeast-2.amazonaws.com/Sellier.jpg,1,0,0,0.00
byredo,바이레도,"slow dance","슬로우 댄스",https://catchinichi.s3.ap-northeast-2.amazonaws.com/Slow+Dance.jpg,1,0,1,3.00
byredo,바이레도,"sunday cologne","선데이 코롱",https://catchinichi.s3.ap-northeast-2.amazonaws.com/Sunday+Cologne.jpg,1,0,0,0.00
byredo,바이레도,sundazed,선데이즈드,https://catchinichi.s3.ap-northeast-2.amazonaws.com/Sundazed.jpg,1,0,0,0.00
byredo,바이레도,"super cedar",슈퍼시더,https://catchinichi.s3.ap-northeast-2.amazonaws.com/Super+Cedar.jpg,1,0,0,0.00
byredo,바이레도,"tobacco mandarin","토바코 만다린",https://catchinichi.s3.ap-northeast-2.amazonaws.com/Tobacco+Mandarin.jpg,1,0,0,0.00
byredo,바이레도,unnamed,언네임드,https://catchinichi.s3.ap-northeast-2.amazonaws.com/Unnamed.jpg,1,0,0,0.00
byredo,바이레도,"velvet haze","벨벳 헤이즈",https://catchinichi.s3.ap-northeast-2.amazonaws.com/Velvet+Haze.jpg,1,0,0,0.00
creed,크리드,"creed acqua fiorentina","아쿠아 피오렌티나",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+ACQUA+FIORENTINA.jpg,1,0,1,4.00
creed,크리드,"creed angelique encens","엔젤리크 인센스",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+ANGELIQUE+ENCENS.jpg,1,0,0,0.00
creed,크리드,"creed aventus",어벤투스,https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+AVENTUS.jpg,1,0,0,0.00
creed,크리드,"creed aventus cologne","어벤투스 코롱",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+AVENTUS+COLOGNE.jpg,1,0,0,0.00
creed,크리드,"creed aventus for her","어벤투스 포 허",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+AVENTUS+FOR+HER.jpg,1,0,1,2.00
creed,크리드,"creed bois du portugal","보리스 두 포르투갈",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+BOIS+DU+PORTUGAL.jpg,1,0,0,0.00
creed,크리드,"creed citrus bigarade","시트러스 비가라데",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+CITRUS+BIGARADE.jpg,1,0,0,0.00
creed,크리드,"creed erolfa",에롤파,https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+EROLFA.jpg,1,0,0,0.00
creed,크리드,"creed fantasia de fleurs","팡타지아 드 플뢰르",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+FANTASIA+DE+FLEURS.jpg,1,0,0,0.00
creed,크리드,"creed fleurissimo",플뢰리시모,https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+FLEURISSIMO.jpg,1,0,0,0.00
creed,크리드,"creed fleurs de gardenia","플뢰르 드 가드니아",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+FLEURS+DE+GARDENIA.jpg,1,0,0,0.00
creed,크리드,"creed floralie",플로랄리,https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+FLORALIE.jpg,1,0,0,0.00
creed,크리드,"creed green irish tweed","그린 아이리시 트위드",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+GREEN+IRISH+TWEED.jpg,1,0,0,0.00
creed,크리드,"creed green neroli","그린 네롤리",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+GREEN+NEROLI.jpg,1,0,1,4.00
creed,크리드,"creed himalaya",히말라야,https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+HIMALAYA.jpg,1,0,0,0.00
creed,크리드,"creed iris tubéreuse","아이리스 튜베로즈",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+IRIS+TUBE%CC%81REUSE.jpg,1,0,0,0.00
creed,크리드,"creed jardin d'amalfi","자르딘 다말피",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+JARDIN+D'AMALFI.jpg,1,0,0,0.00
creed,크리드,"creed jasmin impératrice eugénie","쟈스민 엥뻬하트히스 유제니",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+JASMIN+IMPE%CC%81RATRICE+EUGE%CC%81NIE.jpg,1,0,0,0.00
creed,크리드,"creed love in black","러브 인 블랙",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+LOVE+IN+BLACK.jpg,1,0,0,0.00
creed,크리드,"creed love in white","러브 인 화이트",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+LOVE+IN+WHITE.jpg,1,0,0,0.00
creed,크리드,"creed love in white for summer","러브 인 화이트 포 써머",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+LOVE+IN+WHITE+FOR+SUMMER.jpg,1,0,0,0.00
creed,크리드,"creed millésime impérial","밀레짐 임페리얼",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+MILLE%CC%81SIME+IMPE%CC%81RIAL.jpg,1,0,1,5.00
creed,크리드,"creed néroli sauvage","네롤리 소바쥬",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+NE%CC%81ROLI+SAUVAGE.jpg,1,0,0,0.00
creed,크리드,"creed original santal","오리지널 상탈",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+ORIGINAL+SANTAL.jpg,1,0,0,0.00
creed,크리드,"creed original vétiver","오리지널 베티버",https://catchinichi.s3.ap-northeast-2.amazonaws.com/CREED+ORIGINAL+VE%CC%81TIVER.jpg,1,0,1,5.00
